Name,City,STATE,Amount, EndingDate, ValidDateRange,Most snow in 1 day, 1 day DATE,Most snow in 2 days,2 days DATE,Most snow in 3 days QTY,3 days DATE,First 2 inches
AMARILLO INTL AP,Amarillo,TX,46.7, 1983-12-31 , 1941-04-01 to 2017-06-06,19, 2013-02-25 ,20.2, 2000-12-27 ,20.5, 2000-12-27 ,10/8/1970
SALT LAKE CITY INTL AP,Salt Lake City,UT,108.3, 1996-12-31 , 1928-05-01 to 2017-06-06,13.8, 1984-10-18 ,20.4, 1998-02-25 ,23,2/26/1998,9/17/1965
NORFOLK INTL AP,Norfolk,VA,41.9, 1980-12-31 , 1946-01-01 to 2017-06-06,13.6, 1989-02-18 ,14.8, 1989-02-18 ,15.4, 1989-02-19 ,12/6/1954
ROANOKE RGNL AP,Roanoke,VA,72.5, 1960-12-31 , 1948-01-01 to 2017-06-06,15.4, 1960-02-13 ,24.9, 1996-01-07 ,24.9, 1996-01-08,11/4/1970
LYNCHBURG INTL AP,Lynchburg,VA,56, 1966-12-31 , 1944-07-01 to 2017-06-06,14.3, 1996-01-07 ,21.4, 1996-01-07 ,21.4, 1996-01-08,11/2/1954
RICHMOND INTL AP,Richmond,VA,47, 1962-12-31 , 1930-01-01 to 2017-06-06,19.9, 1940-01-24 ,21.6, 1940-01-24 ,21.6, 1940-01-25,11/6/1953
WALLOPS ISLAND FLIGHT FAC,Wallops Island,VA,42.4, 2010-12-31 , 1966-10-01 to 2017-06-06,10.2, 2010-12-26 ,11.7, 2010-12-26 ,11.7, 2010-12-27,11/12/1976
WASHINGTON REAGAN NATL AP,Arlington,VA,44.6, 1996-12-31 , 1941-08-01 to 2017-06-06,16.4, 1983-02-11 ,18.7, 1979-02-19 ,18.7, 1979-02-20,11/6/1953
WASHINGTON DULLES INTL AP,Washington D.C.,VA,58.4, 1996-12-31 , 1960-04-01 to 2017-06-06,22.5, 1983-02-11 ,32.4, 2010-02-06 ,32.4, 2010-02-07,11/11/1987
MT MANSFIELD,Mount Mansfield,VT,326.8, 2007-12-31 , 1954-11-23 to 2017-06-06,28, 2017-03-15 ,37.1, 2017-03-16 ,45.1, 2017-03-16 ,
BURLINGTON WSO AP,Burlington,VT,131.6, 2007-12-31 , 1943-06-04 to 2017-06-06,25.3, 2007-02-14 ,35.3, 2010-01-03 ,37.6, 2010-01-03 ,10/20/2006
YAKIMA AP,Yakima,WA,74, 1996-12-31 , 1946-09-06 to 2017-06-06,14.8, 1996-11-19 ,18.9, 1996-11-19 ,19.6, 1964-12-23 ,10/28/1991
SEATTLE TACOMA INTL AP,Seattle,WA,60.6, 1950-12-31 , 1945-01-01 to 2017-06-06,20, 1950-01-13 ,24, 1950-01-14 ,25.6, 1950-01-15 ,10/27/1971
SPOKANE INTL AP,Spokane,WA,132.6, 2008-12-31 , 1893-01-01 to 2017-06-06,12.7, 1954-01-21 ,23.6, 2008-12-18 ,25, 2008-12-19 ,
OLYMPIA AP,Olympia,WA,60.1, 1969-12-31 , 1948-01-01 to 2017-06-06,14.2, 1972-01-24 ,22.5, 1972-01-25 ,22.9, 1972-01-25 ,11/17/1955
HUNTINGTON TRI-STATE AP,Huntington,WV,50.8, 1978-12-31 , 1961-01-05 to 2017-06-06,21.1, 1993-03-13 ,21.9, 1993-03-14 ,22.6, 1993-03-14 ,11/10/1987
BECKLEY RALEIGH CO AP,Beckley,WV,142.7, 2010-12-31 , 1963-05-15 to 2017-06-06,27.7, 1993-03-13 ,29.6, 1993-03-14 ,30.9, 1993-03-14 ,10/10/1979
CHARLESTON - YEAGER AP,Charleston,WV,70.5, 1996-12-31 , 1948-10-01 to 2017-06-06,17.1, 1993-03-13 ,18.9, 1993-03-14 ,23.3, 1996-01-08 ,10/20/1961
SNOWSHOE,Snowshoe,WV,281.1, 1981-12-31 , 1975-02-01 to 2017-06-07,26,3/14/1993,37,1/8/1996,39, 1996-01-08 ,
ELKINS- RANDOLPH CO AP,Elkins,WV,124.5, 1987-12-31 , 1926-01-01 to 2017-06-05,19.9, 2009-12-19 ,22.6, 1996-01-08 ,28.2, 1950-11-26 ,10/10/1979
MILWAUKEE WSFO,Waukesha,WI,118.8, 2008-12-31 , 1995-01-01 to 2017-05-10,14.2, 2008-03-22 ,16.3, 2008-02-07 ,17, 2008-02-08 ,
MADISON DANE RGNL AP,Madison,WI,111.1, 2008-12-31 , 1939-10-01 to 2017-06-06,17.3, 1990-12-03 ,17.3, 1990-12-04,19, 1994-02-25 ,10/10/1990
LA CROSSE MUNI AP,La Crosse,WI,91.4, 1959-12-31 , 1938-04-01 to 2017-06-06,14.4, 1990-12-03 ,18.5, 1959-03-06 ,21, 2007-02-25 ,11/1/1991
MILWAUKEE MITCHELL AP,Milwaukee,WI,106.6, 2008-12-31 , 1938-04-03 to 2017-06-06,16.7, 1960-02-10 ,20.1, 1974-02-06 ,23.6, 1974-02-06 ,10/19/1989
GREEN BAY A S INTL AP,Green Bay,WI,119.8, 1887-12-31 , 1886-09-01 to 2017-06-06,24, 1888-03-01 ,29, 1888-03-02 ,29, 1888-03-03,10/12/1936
LANDER HUNT FLD AP,Lander,WY,199.9, 1973-12-31 , 1946-05-29 to 2017-06-06,28.6, 1999-04-22 ,46.2, 1999-04-23 ,51.7, 1999-04-23 ,9/8/1962
CHEYENNE MUNI AP,Cheyenne,WY,107.4, 1942-12-31 , 1915-01-01 to 2017-06-06,19.8, 1979-11-20 ,25.2, 1979-11-21 ,25.6, 1979-11-21 ,9/12/1989
LAKE YELLOWSTONE,Lake Yellowstone,WY,261, 1909-12-31 , 1904-01-19 to 2017-04-30,18, 1965-01-07,30, 1969-01-21 ,38, 1969-01-21,
CASPER NATRONA CO AP,Casper,WY,137.6, 1982-12-31 , 1948-08-01 to 2017-06-06,24.3, 1982-12-24 ,31.3, 1982-12-24 ,31.3, 1982-12-25,9/11/1974
